run,epoch,train_loss,train_acc,val_loss,val_acc
round1,1,0.3525,0.9157,0.1052,0.9706999999999999
round1,2,0.0932,0.973,0.0841,0.9762000000000001
round1,3,0.0729,0.978,0.0975,0.9728
round1,4,0.0671,0.9789,0.0695,0.9815999999999999
round1,5,0.0573,0.9821,0.0688,0.9823999999999999
round1,6,0.0578,0.9819,0.0866,0.9743
round1,7,0.051,0.9833,0.0746,0.9795
round1,8,0.0473,0.9841,0.0723,0.9806999999999999
round1,9,0.0434,0.9854,0.0745,0.9811
round1,10,0.0443,0.9851000000000001,0.0781,0.9806
round1,11,0.037,0.9869,0.0726,0.9813
round1,12,0.0364,0.9878,0.0843,0.9771
round1,13,0.0377,0.9872,0.0826,0.9808
round1,14,0.0311,0.9887,0.0718,0.9826999999999999
round1,15,0.0298,0.9897,0.0822,0.9795
round1,16,0.0298,0.9895999999999999,0.0723,0.9819
round1,17,0.0272,0.9906,0.0789,0.9804
round1,18,0.0257,0.991,0.0714,0.9839
round1,19,0.0248,0.9911,0.0764,0.983
round1,20,0.0219,0.9921,0.0925,0.9818000000000001
round1,21,0.024,0.9918,0.0852,0.982
round1,22,0.023,0.9924,0.0831,0.9828
round1,23,0.0191,0.9934999999999999,0.0855,0.982
round1,24,0.0181,0.9934999999999999,0.0855,0.9843999999999999
round1,25,0.0196,0.9931,0.086,0.9848
round2,1,0.5083,0.9103,0.1112,0.966
round2,2,0.0808,0.9715,0.0684,0.971
round2,3,0.0606,0.977,0.0811,0.9771
round2,4,0.0549,0.9787,0.0567,0.9776
round2,5,0.0686,0.9762000000000001,0.0701,0.9736
round2,6,0.0488,0.98,0.0525,0.977
round2,7,0.036,0.9808,0.0698,0.9808
round2,8,0.0418,0.9818000000000001,0.0592,0.9832
round2,9,0.0616,0.9789,0.1022,0.9773999999999999
round2,10,0.04,0.9815,0.0532,0.9799
round2,11,0.0197,0.987,0.0584,0.9828
round2,12,0.0152,0.9873000000000001,0.0628,0.9825
round2,13,0.0179,0.9882,0.0638,0.9797
round2,14,0.0142,0.9884000000000001,0.0617,0.9837
round2,15,0.0115,0.9913,0.0567,0.9843999999999999
round2,16,0.0069,0.9934000000000001,0.0602,0.9843999999999999
round2,17,0.0067,0.9931,0.065,0.9856999999999999
round2,18,0.006,0.9936,0.0682,0.9839
round2,19,0.0043,0.9958,0.0666,0.9847
round2,20,0.0036,0.9962000000000001,0.0712,0.986
round2,21,0.0034,0.9967,0.0681,0.9859
round2,22,0.0029,0.9972,0.0727,0.9851000000000001
round2,23,0.0021,0.9981,0.0721,0.9858
round2,24,0.0017,0.9986,0.0758,0.9872
round2,25,0.0016,0.9984999999999999,0.0752,0.9867
round2,26,0.0015,0.9987,0.079,0.987
round2,27,0.0014,0.9990000000000001,0.0779,0.9876999999999999
round2,28,0.001,0.9993000000000001,0.0799,0.9875
round2,29,0.001,0.9992,0.0782,0.9876999999999999
round2,30,0.0011,0.9993000000000001,0.0798,0.9865999999999999
round2,31,0.0008,0.9995,0.081,0.9879000000000001
round2,32,0.0009,0.9994,0.0805,0.9872
round2,33,0.0007,0.9995999999999999,0.0804,0.9879000000000001
round2,34,0.0007,0.9995999999999999,0.0788,0.9873000000000001
round2,35,0.0007,0.9995999999999999,0.0813,0.9876999999999999
round2,36,0.0007,0.9995,0.0825,0.9873000000000001
round2,37,0.0007,0.9995999999999999,0.0808,0.9876999999999999
round2,38,0.0006,0.9995999999999999,0.0823,0.9873999999999999
